DIN.PIN,Brand.Name,Manufacturer.Code,Dosage.Form,Strength,Effective.Date,End.Date,Active.Ingredients,Active.Ingredient.Class.and.Use,Active.Ingredient.Dose,Other.Notes,conversion_factor,
392472,Supeudol,SIL,sup,20mg,2012-04-16,,oxycodone hydrochloride,opioid,,,1.5,
392480,Supeudol,SIL,sup,10mg,2012-04-16,,oxycodone hydrochloride,opioid,,,1.5,
402680,Apo-Oxazepam,APX,tab,10mg,2012-04-16,,oxazepam,bzd,,,0.33,
402737,Apo-Oxazepam,APX,tab,30mg,2012-04-16,,oxazepam,bzd,,,0.33,
402745,Apo-Oxazepam,APX,tab,15mg,2012-04-16,,oxazepam,bzd,,,0.33,
405329,Apo-Diazepam,APX,tab,2mg,2012-04-16,,diazepam,bzd,,,1,
405337,Apo-Diazepam,APX,tab,10mg,2012-04-16,,diazepam,bzd,,,1,
414220,Som Pam,VAL,cap,15mg,2012-04-16,,flurazepam,bzd,,,0.33,
414239,Som Pam,VAL,cap,30mg,2012-04-16,,flurazepam,bzd,,,0.33,
414247,Oxpam,VAL,tab,10mg,2012-04-16,,oxazepam,bzd,,,0.33,
414255,Oxpam,VAL,tab,15mg,2012-04-16,,oxazepam,bzd,,,0.33,
414263,Oxpam,VAL,tab,30mg,2012-04-16,,oxazepam,bzd,,,0.33,
426865,NOVO AC+C 8MG,NOP,tab,8mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid,,,0.15,
434388,Diazepam 10Tab 10mg,PRD,tab,10mg,2012-04-16,,diazepam,bzd,,,1,
434396,Diazepam 2Tab 2mg,PRD,tab,2mg,2012-04-16,,diazepam,bzd,,,1,
443948,Supeudol,SDZ,tab,10mg,2012-04-16,,oxycodone hydrochloride,opioid,,,1.5,
472549,Vasofrinic Dh,LAT,o/l,30mg,2012-04-16,,hydrocodone bitartrate + chlorpheniramine maleate +pseudoephedrine hydrochloride,opioid,2.5mg/5ml,,1,
486582,M.O.S.,VAL,o/l,1mg/mL,2012-04-16,,morphine hydrochloride,opioid,,,1,
496529,Novoxapam,NOP,tab,15mg,2012-11-29,,oxazepam,bzd,,,0.33,
496537,Novoxapam,NOP,tab,30mg,2012-11-29,,oxazepam,bzd,,,0.33,
497754,Oxazepam 10 Tab 10mg,PRD,tab,10mg,2012-04-16,,oxazepam,bzd,,,0.33,
497762,Oxazepam 15 Tab 15mg,PRD,tab,15mg,2012-04-16,,oxazepam,bzd,,,0.33,
497770,Oxazepam 30 Tab 30mg,PRD,tab,30mg,2012-04-16,,oxazepam,bzd,,,0.33,
500852,Novoxapam,NOP,tab,10mg,2012-11-29,,oxazepam,bzd,,,0.33,
507407,Dalmacol,LAA,o/l,3.33mg,2012-04-16,,alcohol anhydrous + doxylamine succinate + etafedrine hydrochloride + hydrocodone bitartate,opioid,1.65mg/5ml,,1,
511528,Mogadon,VAL,tab,5mg,2012-04-16,,nitrazepam,bzd,,,1,
511536,Mogadon,VAL,tab,10mg,2012-04-16,,nitrazepam,bzd,,,1,
514217,M.O.S.,VAL,o/l,5mg/mL,2012-04-16,,morphine sulfate,opioid,,,1,
518123,Lectopam,HLR,tab,3mg,2012-04-16,,bromazepam,bzd,,,1.7,
518131,Lectopam,HLR,tab,6mg,2012-04-16,,bromazepam,bzd,,,1.7,
521698,Apo-Flurazepam,APX,cap,15mg,2012-04-16,,flurazepam,bzd,,,0.33,
521701,Apo-Flurazepam,APX,cap,30mg,2012-04-16,,flurazepam,bzd,,,0.33,
522724,Chlordiazepoxide,AAP,cap,5mg,2012-04-16,,chlordiazepoxide,bzd,,,0.4,
522988,Chlordiazepoxide,AAP,cap,10mg,2012-04-16,,chlordiazepoxide,bzd,,,0.4,
522996,Chlordiazepoxide,AAP,cap,25mg,2012-04-16,,chlordiazepoxide,bzd,,,0.4,
535230,CALMYLIN,TCH,o/l,125mg/ml & 3.33mg/ml & 12.5mg/ml,2012-04-16,,codeine phosphate + triprolidine hydrochloride + pseudoephedrine hydrochloride,opioid,3.33mg/5ml,,0.15,
548359,Xanax,PFI,tab,0.25mg,2012-04-16,,alprazolam,bzd,,,10,
548367,Xanax,PFI,tab,0.5mg,2012-04-16,,alprazolam,bzd,,,10,
550477,Ratio-Calmydone,RPH,o/l,3.33mg,2012-04-16,,doxylamine succinate + etafedrine hydrochloride + Hydrocodone bitartrate,opioid,0.33mg/ml,,1,
568392,Riva Oxazepam,RIA,tab,10mg,2012-04-16,,oxazepam,bzd,,,0.33,
568406,Riva Oxazepam,RIA,tab,15mg,2012-04-16,,oxazepam,bzd,,,0.33,
568414,Riva Oxazepam,RIA,tab,30mg,2012-04-16,,oxazepam,bzd,,,0.33,
578479,Flurazepam 15,PRD,cap,15mg,2012-04-16,,flurazepam,bzd,,,0.33,
578487,Flurazepam 30,PRD,cap,30mg,2012-04-16,,flurazepam,bzd,,,0.33,
584991,PMS-Methylphenidate,PMS,tab,10mg,2012-04-16,,methylphenidate,stimulant,,,1,
585009,PMS-Methylphenidate,PMS,tab,20mg,2012-04-16,,methylphenidate,stimulant,,,1,
589470,AC+C 1/8GR,PMS,tab,8mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid,,,0.15,
589489,ACETAMINOPHEN WITH CODEINE,PMS,tab,8mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
591467,Statex,PAL,o/l,1mg/mL,2012-04-16,,morphine sulfate,opioid,,,1,
591475,Statex,PAL,o/l,5mg/mL,2012-04-16,,morphine sulfate,opioid,,,1,
593168,Sirop Cocillana Codeine,LAA,o/l,0.566mg,2012-04-16,,codeine phosphate,opioid,0.667mg/ml,,0.15,
593435,Ratio-Codeine,RPH,tab,15mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
593451,Ratio-Codeine,RPH,tab,30mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
594636,Statex,PAL,tab,25mg,2012-04-16,,morphine sulfate,opioid,,,1,
594644,Statex,PAL,tab,10mg,2012-04-16,,morphine sulfate,opioid,,,1,
594652,Statex,PAL,tab,5mg,2012-04-16,,morphine sulfate,opioid,,,1,
596965,Statex Suppositories 20mg,PAL,rect sup,20mg,2012-04-16,,morphine sulfate,opioid,,,1,
604453,Restoril,ORY,cap,15mg,2012-04-16,,temazepam,bzd,,,0.5,
604461,Restoril,ORY,cap,30mg,2012-04-16,,temazepam,bzd,,,0.5,
607762,Ratio-Morphine,RPH,o/l,1mg/mL,2012-04-16,,morphine hydrochloride,opioid,,,1,
607770,Ratio-Morphine,RPH,o/l,5mg/mL,2012-04-16,,morphine hydrochloride,opioid,,,1,
608157,Ratio-Oxycodan,RPH,tab,5mg & 325mg,2012-04-16,,oxycodone hydrochloride,opioid,5mg,,1.5,
608165,Teva-Oxycocet,RPH,tab,5mg & 325mg,2012-04-16,,oxycodone hydrochloride + acetaminophen,opioid,5mg,,1.5,
608181,Ratio-Tecnal C1/2,RPH,cap,330mg & 50mg & 40mg & 30mg,2012-04-16,,butalbital + acetylsalicylic acid + caffeine + codeine phosphate,opioid/ barbituate,30mg,,0.15,
608203,Ratio-Tecnal C1/4,RPH,cap,330mg & 50mg & 40mg & 15mg,2012-04-16,,butalbital + acetylsalicylic acid + caffeine + codeine phosphate,opioid/ barbituate,15mg,,0.15,
608211,Ratio-Tecnal,RPH,tab,50mg,2012-04-16,,butalbital + acetylsalicylic acid + caffeine+codeine,opioid/ barbituate,,,0.15,
608238,Ratio-Tecnal,RPH,cap,330mg & 50mg & 40mg,2012-04-16,,butalbital + acetylsalicylic acid + caffeine+codeine,opioid/ barbituate,,,0.15,
608882,Ratio-Emtec,RPH,tab,300mg & 30mg,2012-04-16,,acetaminophen + codeine phosphate,opioid,30mg,,0.15,
614491,Doloral 1,LAA,o/l,1mg,2012-04-16,,morphine hydrochloride,opioid,1mg/ml,,1,
614505,Doloral 5 Sirop 5mg/mL,LAA,o/l,5mg,2012-04-16,,morphine sulfate,opioid,,,1,
615528,NOVOGESIC-C8,NOP,tab,8mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid,,,0.15,
617059,ACETAMINOPHEN 500MG COMP TAB/CODEINE,RPR,tab,8mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
618454,Apo-Chlorax Cap,APX,cap,2.5mg,2012-04-16,,chlordiazepoxide,bzd,,,0.4,
621463,Ratio-Lenoltec No.4,RPH,tab,300mg & 60mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid,60mg,,0.15,
621935,Statex,PAL,oral drops,20mg/mL,2012-04-16,,morphine sulfate,opioid,,,1,
624268,M.O.S.,ICN,sup,10mg,2012-11-29,,morphine hydrochloride,opioid,,,1,
624276,M.O.S.,ICN,sup,20mg,2012-11-29,,morphine hydrochloride,opioid,,,1,
628190,Novo-Clopate,NOP,cap,3.75mg,2012-11-29,,clorazepate dipotassium,bzd,,,0.67,
628204,Novo-Clopate,NOP,cap,7.5mg,2012-11-29,,clorazepate dipotassium,bzd,,,0.67,
628212,Novo-Clopate,NOP,cap,15mg,2012-11-29,,clorazepate dipotassium,bzd,,,0.67,
632201,Statex,PMS,sup,10mg,2012-04-16,,morphine sulfate,opioid,,,1,
632228,Statex Suppositories 5mg,PAL,rect sup,5mg,2012-04-16,,morphine sulfate,opioid,,,1,
632481,M.O.S.,VAL,o/l,20mg/mL,2012-04-16,,morphine sulfate,opioid,,,1,
632503,M.O.S.,VAL,o/l,10mg/mL,2012-04-16,,morphine sulfate,opioid,,,1,
632775,Ritalin SR,NOV,er tab,20mg,2012-04-16,,methylphenidate,stimulant,,,1,
636223,Pro Chlorax,PRD,cap,2.5mg,2012-04-16,,chlordiazepoxide + clidinium bromide,bzd,5mg,,0.4,
636681,M.O.S.,ICN,sup,30mg,2012-11-29,,morphine hydrochloride,opioid,,,1,
637742,Teva-Lorazepam,NOP,tab,1mg,2012-04-16,,lorazepam,bzd,,,5,
637750,Teva-Lorazepam,NOP,tab,2mg,2012-04-16,,lorazepam,bzd,,,5,
639389,Statex Suppositories 30mg,PAL,rect sup,30mg,2012-04-16,,morphine sulfate,opioid,,,1,
647217,Statex Syrup 10mg/mL,PAL,o/l,10mg/ml,2012-04-16,,morphine sulfate,opioid,,,1,
653233,LENOLTEC NO.1,TCH,tab,8mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid,,,0.15,
653241,Ratio-Lenoltec No.2,RPH,tab,300mg & 15mg & 15mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid,15mg,,0.15,
653276,Ratio-Lenoltec No.3,RPH,tab,300mg & 15mg & 30mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid,30mg,,0.15,
655643,Pro-Lorazepam Tab 0.5mg,PRD,tab,0.5mg,2012-04-16,,lorazepam,bzd,,,5,
655651,Pro-Lorazepam Tab 1.0mg,PRD,tab,1mg,2012-04-16,,lorazepam,bzd,,,5,
655678,Pro-Lorazepam Tab 2mg,PRD,tab,2mg,2012-04-16,,lorazepam,bzd,,,5,
655740,Apo-Lorazepam,APX,tab,0.5mg,2012-04-16,,lorazepam,bzd,,,5,
655759,Apo-Lorazepam,APX,tab,1mg,2012-04-16,,lorazepam,bzd,,,5,
655767,Apo-Lorazepam,APX,tab,2mg,2012-04-16,,lorazepam,bzd,,,5,
667102,PMS-Flurazepam Cap 15mg,PMS,cap,15mg,2012-04-16,,flurazepam,bzd,,,0.33,
675962,Statex,PAL,tab,50mg,2012-04-16,,morphine sulfate,opioid,,,1,
687200,Novo-Gesic C-15,NOP,tab,300mg & 15mg & 15mg,2012-11-29,,acetaminophen + codeine phosphate + caffeine,opioid,15mg,,0.15,
687219,Novo-Gesic C-30,NOP,tab,300mg & 15mg & 30mg,2012-11-29,,acetaminophen + codeine phosphate + caffeine,opioid,30mg,,0.15,
690074,PHARMASAVE COUGH SYRUP,TCH,o/l,125mg/ml & 3.33mg/ml & 12.5mg/ml,2012-04-16,,codeine phosphate,opioid,3.33mg/5ml,,0.15,
690198,M.O.S.-10,VAL,tab,10mg,2012-04-16,,morphine sulfate,opioid,,,1,
690201,M.O.S.-20,VAL,tab,20mg,2012-04-16,,morphine sulfate,opioid,,,1,
690228,M.O.S.-40,VAL,tab,40mg,2012-11-29,,morphine sulfate,opioid,,,1,
690236,M.O.S. Conc 50,VAL,o/l,50mg/mL,2012-11-29,,morphine sulfate,opioid,,,1,
690244,M.O.S.-60,VAL,tab,60mg,2012-04-16,,morphine sulfate,opioid,,,1,
690783,Ratio-Morphine,RPH,o/l,10mg/mL,2012-04-16,,morphine sulfate,opioid,,,1,
690791,Ratio-Morphine,RPH,o/l,20mg/mL,2012-04-16,,morphine sulfate,opioid,,,1,
694827,Ratio-Coristex-Dh,RPH,o/l,20mg,2012-04-16,,hydrocodone bitartrate + triprolidine hydrochloride + pseudoephedrine hydrochloride,opioid,5mg/5ml,,1,
705438,Dilaudid,PFP,tab,1mg,2012-04-16,,hydromorphone hydrochloride,opioid,,,5,
705799,Statex Dps 50mg/mL,PAL,oral sol,50mg,2012-04-16,,morphine sulfate,opioid,50mg/ml,,1,
706221,ACETAMINOPHEN WITH CAFFEINE AND CODEINE,VIP,tab,8mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
706515,Acet 2,PMS,tab,15mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid,,,0.15,
706523,Acet 3,PMS,tab,30mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid,,,0.15,
708712,ACETAMINOPHEN EXTRA STR/CAFFEINE/CODEINE,WTR,tab,8mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
711101,Novo-Lorazem,NOP,tab,0.5mg,2012-04-16,,lorazepam,bzd,,,5,
723770,Xanax,PFI,tab,1mg,2012-04-16,,alprazolam,bzd,,,10,
726362,PMS-Oxazepam Tab 10mg,PMS,tab,10mg,2012-04-16,,oxazepam,bzd,,,0.33,
726370,PMS-Oxazepam Tab 15mg,PMS,tab,15mg,2012-04-16,,oxazepam,bzd,,,0.33,
726389,PMS-Oxazepam Tab 30mg,PMS,tab,30mg,2012-04-16,,oxazepam,bzd,,,0.33,
728187,PMS-Lorazepam,PMS,tab,0.5mg,2012-04-16,,lorazepam,bzd,,,5,
728195,PMS-Lorazepam,PMS,tab,1mg,2012-04-16,,lorazepam,bzd,,,5,
728209,PMS-Lorazepam,PMS,tab,2mg,2012-04-16,,lorazepam,bzd,,,5,
776181,M.O.S.,VAL,sr tab,30mg,2012-04-16,,morphine hydrochloride,opioid,,,1,
776203,M.O.S.,VAL,sr tab,60mg,2012-04-16,,morphine hydrochloride,opioid,,,1,
779458,Codeine,ROG,tab,15mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
779474,Ratio-Codeine,RPH,o/l,5mg/mL,2012-04-16,,codeine phosphate,opioid,,,0.15,
786535,Dilaudid,PFP,oral sol,1mg/mL,2012-04-16,,hydromorphone hydrochloride,opioid,,,5,
786543,Dilaudid,PFP,tab,8mg,2012-04-16,,hydromorphone hydrochloride,opioid,,,5,
789739,Supeudol,SDZ,tab,5mg,2012-04-16,,oxycodone hydrochloride,opioid,,,1.5,
789828,Triatec-30 Tab,LAT,tab,30mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
808563,Triazolam,AAP,tab,0.125mg,2012-04-16,,triazolam,bzd,,,20,
808571,Triazolam,AAP,tab,0.25mg,2012-04-16,,triazolam,bzd,,,20,
813958,Xanax TS,PFI,tab,2mg,2012-04-16,,alprazolam,bzd,,,10,
815349,PMS-Opium & Belladonna,PMS,sup,65mg/15mg,2012-04-16,,"opium (morphine) + belladonna alkaloids (e.g., atropine, scopolamine)",opioid,65mg,,1,
816027,PMS-Acetaminophen With Codeine,PMS,o/l,160mg & 8mg/5mL,2012-04-16,,codeine phosphate,opioid,8mg/5ml,,0.15,
834319,ACETAZONE FORTE C8,TCH,Tab,300mg & 250mg & 8mg,2012-04-16,,acetylsalicylic acid + codeine phosphate + caffeine,opioid,8mg,,0.15,
852163,Triatec-8 Tab,LAT,tab,8mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
860689,Clorazepate,AAP,cap,3.75mg,2012-04-16,,clorazepate dipotassium,bzd,,,0.67,
860697,Clorazepate,AAP,cap,15mg,2012-04-16,,clorazepate dipotassium,bzd,,,0.67,
860700,Clorazepate,AAP,cap,7.5mg,2012-04-16,,clorazepate dipotassium,bzd,,,0.67,
865397,Apo-Alpraz,APX,tab,0.25mg,2012-04-16,,alprazolam,bzd,,,10,
865400,Apo-Alpraz,APX,tab,0.5mg,2012-04-16,,alprazolam,bzd,,,10,
885401,PMS-HYDROmorphone,PMS,tab,4mg,2012-04-16,,hydromorphone hydrochloride,opioid,,,5,
885428,PMS-HYDROmorphone,PMS,tab,8mg,2012-04-16,,hydromorphone hydrochloride,opioid,,,5,
885436,PMS-HYDROmorphone,PMS,tab,2mg,2012-04-16,,hydromorphone hydrochloride,opioid,,,5,
885444,PMS-HYDROmorphone,PMS,tab,1mg,2012-04-16,,hydromorphone hydrochloride,opioid,,,5,
891797,PMS-Diazepam,PMS,o/l,1mg/mL,2012-04-16,,diazepam,bzd,,,1,
1908170,Alprazolam-0.5 Tab 0.5mg,PRD,tab,0.5mg,2012-04-16,,alprazolam,bzd,,,10,
1908189,Alprazolam-0.25 Tab 0.25mg,PRD,tab,0.25mg,2012-04-16,,alprazolam,bzd,,,10,
1913239,Nu-Alpraz,NXP,tab,0.25mg,2012-04-16,,alprazolam,bzd,,,10,
1913247,Nu-Alpraz,NXP,tab,0.5mg,2012-04-16,,alprazolam,bzd,,,10,
1913484,Teva-Alprazolam,TEV,tab,0.25mg,2012-04-16,,alprazolam,bzd,,,10,
1913492,Teva-Alprazolam,TEV,tab,0.5mg,2012-04-16,,alprazolam,bzd,,,10,
1913506,Mylan-Triazolam,MYL,tab,0.25mg,2012-10-17,,triazolam,bzd,,,20,
1901869,Opium & Belladonna,SDZ,sup,15mg & 65mg,2012-04-16,,"opium (morphine) + belladonna alkaloids (e.g., atropine, scopolamine)",opioid/acticholinergic,65mg,,1,
1916386,PMS-HYDROmorphone,PMS,oral sol,1mg/mL,2012-04-16,,hydromorphone hydrochloride,opioid,,,5,
1916394,PMS-Hydromorphone Suppositoire 3mg,PMS,rect sup,3mg,2012-04-16,,hydromorphone hydrochloride,opioid,,,5,
1916475,Percocet,BQU,tab,5mg & 325mg,2012-04-16,,oxycodone hydrochloride + acetaminophen,opioid,5mg,,1.5,
1916491,Percocet-Demi,BMS,tab,2.5mg,2012-04-16,,oxycodone hydrochloride + acetaminophen,opioid,,,1.5,
1916548,Endocet,BQU,tab,5mg & 325mg,2012-04-16,,oxycodone hydrochloride + acetaminophen,opioid,5mg,,1.5,
1916564,Hycomine,BQU,o/l,5mg & 12.5mg & 10mg & 60mg,2012-07-30,,hydrocodone bitartrate + chlorpheniramine maleate + phenylephrine hydrochloride + pseudoephedrine hydrochloride,opioid,,,1,
1916580,Hycodan,BQU,o/l,1mg/mL,2012-04-16,,hydrocodone bitartrate + homatropine methylbromide,opioid,,,1,
1916599,Hycodan,DUP,tab,5mg,2012-04-16,,hydrocodone bitartrate + homatropine methylbromide,opioid,,,1,
1916963,Tussionex,FIS,tab,5mg & 10mg,2012-04-16,,hydrocodone polistirex + chlorpheniramine polistirex,opioid,5mg,,1,
1916971,Tussionex,FIS,susp,1mg/mL & 2mg/mL,2012-04-16,,hydrocodone polistirex + chlorpheniramine polistirex,opioid,1mg/ml,,1,
1922246,ACETAMINOPHEN CAFFEINE & CODEINE (WAM),RPR,tab,8mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
1924516,Dexedrine,PAL,tab,5mg,2012-04-16,,dextroamphetamine sulfate,stimulant,,,1.16,
1924559,Dexedrine Spansules,PAL,sr cap,10mg,2012-04-16,,dextroamphetamine sulfate,stimulant,,,1.16,
1924567,Dexedrine Spansules,PAL,sr cap,15mg,2012-04-16,,dextroamphetamine sulfate,stimulant,,,1.16,
1934740,Robitussin Ac,PFI,o/l,100mg,2012-04-16,,guaifenesin + codeine phosphate,opioid,2mg/ml,,0.15,
1934767,ROBAXACET-8,WHB,tab,400mg & 325mg & 8mg,2012-04-16,,methocarbamol + acetaminophen + codeine phosphate,opioid,8mg,,0.15,
1934775,ROBAXISAL C 1/8,WHB,tab,400mg & 325mg & 8mg,2012-04-16,,methocarbamol + acetylsalicylic acid + codeine phosphate,opioid,8mg,,0.15,
1934783,Robaxisal C-1/4,ROB,tab,400mg & 325mg & 16.2mg,2012-04-16,,methocarbamol + acetylsalicylic acid + codeine phosphate,opioid,16.2mg,,0.15,
1934791,Robaxisal C-1/2,WHH,tab,400mg & 325mg & 32.4mg,2012-04-16,,methocarbamol + acetylsalicylic acid + codeine phosphate,opioid,32.4mg,,0.15,
1938363,SINUTAB WITH CODEINE,WLA,tab,325mg & 2mg & 8mg & 30mg,2012-04-16,,codeine phosphate,opioid,8mg,,0.15,
1941895,Methoxisal-C 1/8,ROG,tab,8mg,2012-04-16,,methocarbamol + acetylsalicylic acid + codeine phosphate,opioid,,,0.15,
1962388,Cocaine Hydrochloride Top Sol 40mg/mL,SDZ,topical sol,40MG,2012-04-16,,cocaine hydrochloride,stimulant,40mg/ml,,NA,
1966367,Methoxisal-C 1/4,ROG,tab,16.2mg,2012-04-16,,methocarbamol + acetylsalicylic acid + codeine phosphate,opioid,,,0.15,
1966375,Methoxisal-C 1/2,ROG,tab,32.4mg,2012-04-16,,methocarbamol + acetylsalicylic acid + codeine phosphate,opioid,,,0.15,
1971387,Trianal-C 1/2 Capsule,LAT,cap,30mg,2012-04-16,,butalbital + acetylsalicylic acid + caffeine + codeine phosphate,opioid/barbituate,,,0.15,
1971409,Trianal Tablet,LAT,tab,50mg,2012-04-16,,butalbital + acetylsalicylic acid + caffeine + codeine phosphate,opioid/barbituate,,,0.15,
1971417,Trianal Capsules,LAT,cap,50mg,2012-04-16,,butalbital + acetylsalicylic acid + caffeine + codeine phosphate,opioid/barbituate,,,0.15,
1977881,TRIATEC-8 FORT TAB,TCH,tab,8mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
1979914,Hydromorphone Hydrochloride Sup 3mg,SDZ,rect sup,3mg,2012-04-16,,hydromorphone hydrochloride,opioid,,,5,
1996541,ACETAMINOPHEN CAFFEINE & CODEINE TAB,TLI,tab,8mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
1996568,ACETAMINOPHEN CAFFEINE CODEINE FORTE,TLI,tab,8mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
1997688,Acetaminophen Caffeine & 8mg Cod. Phos.,NOP,tab,8mg,2012-04-16,,acetaminophen + caffeine + codeine phosphate,opioid,,,0.15,
1999648,Acet Codeine 30 Tab,PMS,tab,30mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
1999656,Acet Codeine 60 Tab,PMS,tab,60mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
1995227,Mylan-Triazolam,MYL,tab,0.125mg,2012-10-17,,triazolam,bzd,,,20,
2009706,M.O.S. Sulphate 50mg Tab,VAL,tab,50mg,2012-04-16,,morphine sulfate,opioid,,,1,
2009749,M.O.S. Sulphate 25mg Tab,VAL,tab,25mg,2012-04-16,,morphine sulfate,opioid,,,1,
2009757,Codeine 30mg Tab,LAT,tab,30mg,2012-04-16,,codeine phosphate,opioid,,,0.15,
2009765,M.O.S. Sulphate 10mg Tab,VAL,tab,10mg,2012-04-16,,morphine sulfate,opioid,,,1,
2009773,M.O.S. Sulphate 5mg Tab,VAL,tab,5mg,2012-04-16,,morphine sulfate,opioid,,,1,
2009889,Codeine 15 mg Tab,LAT,tab,15MG,2012-04-16,,codeine phosphate,opioid,,,0.15,
2014203,MS IR Tab 5mg,PFP,tab,5mg,2012-04-16,,morphine sulfate,opioid,,,1,
2014211,MS IR Tab 10mg,PFP,tab,10mg,2012-04-16,,morphine sulfate,opioid,,,1,
2014238,MS-IR,PFP,tab,20mg,2012-04-16,,morphine sulfate,opioid,,,1,
2014254,MS-IR,PFP,tab,30mg,2012-04-16,,morphine sulfate,opioid,,,1,
2014297,MS Contin,PFP,sr tab,30mg,2012-04-16,,morphine sulfate,opioid,,,1,
