"DIN.PIN","Brand.Name","Manufacturer.Code","Dosage.Form","Strength","Effective.Date","End.Date","Active.Ingredients","Active.Ingredient.Class.and.Use","Other.Notes","conversion_factor"
"02048701","PMS-Clonazepam","PMS","tab","0.5mg","2012-04-16","","clonazepam","bzd","",NA
"02048728","PMS-Clonazepam Tab 1.0mg","PMS","tab","1mg","2012-04-16","","clonazepam","bzd","",NA
"02048736","PMS-Clonazepam","PMS","tab","2mg","2012-04-16","","clonazepam","bzd","",NA
"02048701","PMS-Clonazepam","PMS","tab","0.5mg","2012-04-16","","clonazepam","bzd","",NA
"02048728","PMS-Clonazepam Tab 1.0mg","PMS","tab","1mg","2012-04-16","","clonazepam","bzd","",NA
"02048736","PMS-Clonazepam","PMS","tab","2mg","2012-04-16","","clonazepam","bzd","",NA
"02103656","Ratio-Clonazepam","RPH","tab","0.5mg","2012-04-16","","clonazepam","bzd","",NA
"02103737","Ratio-Clonazepam","RPH","tab","2mg","2012-04-16","","clonazepam","bzd","",NA
"02130998","Dom-Clonazepam - Tab 0.5mg","DPC","tab","0.5mg","2012-04-16","","clonazepam","bzd","",NA
"02131013","Dom-Clonazepam - Tab 2mg","DPC","tab","2mg","2012-04-16","","clonazepam","bzd","",NA
"02137534","Mylan-Alprazolam","MYL","tab","0.25mg","2012-04-16","","alprazolam","bzd","",NA
"02137542","Mylan-Alprazolam","MYL","tab","0.5mg","2012-04-16","","alprazolam","bzd","",NA
"02145227","Phl-Clonazepam","PHE","tab","0.5mg","2012-04-16","","clonazepam","bzd","",NA
"02145235","Phl-Clonazepam - Tab 1mg","PHE","tab","1mg","2012-04-16","","clonazepam","bzd","",NA
"02145243","Phl-Clonazepam","PHE","tab","2mg","2012-04-16","","clonazepam","bzd","",NA
"02173344","Nu-Clonazepam","NXP","tab","0.5mg","2012-04-16","","clonazepam","bzd","",NA
"02173352","Nu-Clonazepam","NXP","tab","2mg","2012-04-16","","clonazepam","bzd","",NA
"02177153","Apo-Bromazepam","APX","tab","1.5mg","2012-04-16","","bromazepam","bzd","",NA
"02177161","Apo-Bromazepam","APX","tab","3mg","2012-04-16","","bromazepam","bzd","",NA
"02177188","Apo-Bromazepam","APX","tab","6mg","2012-04-16","","bromazepam","bzd","",NA
"02177889","Apo-Clonazepam","APX","tab","0.5mg","2012-04-16","","clonazepam","bzd","",NA
"02177897","Apo-Clonazepam","APX","tab","2mg","2012-04-16","","clonazepam","bzd","",NA
"02179660","PMS-Clonazepam- Tab 0.25mg","PMS","tab","0.25mg","2012-04-16","","clonazepam","bzd","",NA
"02192705","Gen-Bromazepam","GEN","tab","1.5mg","2012-04-16","","bromazepam","bzd","",NA
"02207818","PMS-Clonazepam-R","PMS","tab","0.5mg","2012-04-16","","clonazepam","bzd","",NA
"02220520","Bromazepam-3 - Tab 3mg","PRD","tab","3mg","2012-04-16","","bromazepam","bzd","",NA
"02220539","Bromazepam-6 - Tab 6mg","PRD","tab","6mg","2012-04-16","","bromazepam","bzd","",NA
"02221799","Frisium","OVA","tab","10mg","2012-04-16","","clabazam","bzd","",NA
"02223570","Nu-Temazepam","NXP","cap","15mg","2012-04-16","","tumazepam","bzd","",NA
"02223589","Nu-Temazepam","NXP","cap","30mg","2012-04-16","","tumazepam","bzd","",NA
"02224100","Dom-Clonazepam-R - Tab 0.5mg","DPC","tab","0.5mg","2012-04-16","","clonazepam","bzd","",NA
"02225964","Apo-Temazepam","APX","cap","15mg","2012-04-16","","tumazepam","bzd","",NA
"02225972","Apo-Temazepam","APX","cap","30mg","2012-04-16","","tumazepam","bzd","",NA
"02229654","Nitrazadon","VAL","tab","5mg","2012-04-16","","nitrazepam","bzd","",NA
"02229655","Nitrazadon","VAL","tab","10mg","2012-04-16","","nitrazepam","bzd","",NA
"02229756","Dom-Temazepam","DPC","cap","15mg","2012-04-16","","temazepam","bzd","",NA
"02229758","Dom-Tamazepam","DPC","cap","30mg","2012-04-16","","temazepam","bzd","",NA
"02229760","Temazepam-15","PRD","cap","15mg","2012-04-16","","temazepam","bzd","",NA
"02229761","Temazepam-30","PRD","cap","30mg","2012-04-16","","temazepam","bzd","",NA
"02229813","Mylan-Alprazolam","MYL","tab","1mg","2012-04-16","","alprazolam","bzd","",NA
"02229814","Mylan-Alprazolam","MYL","tab","2mg","2012-04-16","","alprazolam","bzd","",NA
"02230095","Novo-Temazepam","NOP","cap","15mg","2012-04-16","","temazepam","bzd","",NA
"02230102","Novo-Temazepam","NOP","cap","30mg","2012-04-16","","temazepam","bzd","",NA
"02230366","Clonapam","ICN","tab","0.5mg","2012-11-29","","clonapam","bzd","",NA
"02230368","Clonapam","VAL","tab","1mg","2012-04-16","","clonapam","bzd","",NA
"02230369","Clonapam","ICN","tab","2mg","2012-11-29","","clonapam","bzd","",NA
"02230584","Novo-Bromazepam","NOP","tab","3mg","2012-04-16","","bromazepam","bzd","",NA
"02230585","Novo-Bromazepam","NOP","tab","6mg","2012-04-16","","bromazepam","bzd","",NA
"02230769","Dalmacol","RIA","o/l","3.33mg","2012-04-16","","hydrocodone bitartrate, etafedrine, doxylamine succinate, sodium citrate, and anhydrous alcohol","bzd","",NA
"02230950","Mylan-Clonazepam","MYL","tab","0.5mg","2012-04-16","","clonazepam","bzd","",NA
"02230951","Mylan-Clonazepam","MYL","tab","2mg","2012-04-16","","clonazepam","bzd","",NA
"02233960","Sandoz Clonazepam","SDZ","tab","0.5mg","2012-04-16","","clonazepam","bzd","",NA
"02233982","Sandoz Clonazepam","SDZ","tab","1mg","2012-04-16","","clonazepam","bzd","",NA
"02233985","Sandoz Clonazepam","SDZ","tab","2mg","2012-04-16","","clonazepam","bzd","",NA
"02234003","Sandoz Nitrazepam","SDZ","tab","5mg","2012-04-16","","nitrazepam","bzd","",NA
"02234007","Sandoz Nitrazepam","SDZ","tab","10mg","2012-04-16","","nitrazepam","bzd","",NA
"02236948","Phl-Clonazepam-R","PHE","tab","0.5mg","2012-04-16","","clonazepam","bzd","",NA
"02237420","Acetaminophen, Caffeine & 8mg Codeine","PEN","tab","8mg","2012-04-16","2016-12-31","clonazepam","bzd","",NA
"02238162","Diastat","VAL","rect gel-2x 5mg pk","5mg/mL","2012-04-16","","diazepam","bzd","",NA
"02238334","Novo-Clobazam","NOP","tab","10mg","2012-04-16","","clobazam","bzd","",NA
"02239024","Novo-Clonazepam","NOP","tab","0.5mg","2012-04-16","","clonazepam","bzd","",NA
"02239025","Novo-Clonazepam","NOP","tab","2mg","2012-04-16","","clonazepam","bzd","",NA
"02242077","Riva-Clonazepam","RIA","tab","0.5mg","2012-04-16","","clonazepam","bzd","",NA
"02242078","Riva-Clonazepam 2 mg","RIA","tab","2mg","2012-04-16","","clonazepam","bzd","",NA
"02243023","Ratio-Temazepam","RPH","cap","15mg","2012-04-16","","temazepam","bzd","",NA
"02243024","Ratio-Temazepam","RPH","cap","30mg","2012-04-16","","temazepam","bzd","",NA
"02243611","Apo-Alpraz","APX","tab","1mg","2012-04-16","","alprazolam","bzd- short term anxiety relief","",NA
"02243612","Apo-Alpraz TS","APX","tab","2mg","2012-04-16","","alprazolam","bzd- short term anxiety relief. ts stands for tablet scored (can safely be split)","",NA
"02244474","PMS-Clobazam","PMS","tab","10mg","2012-04-16","","clobazam","bzd","",NA
"02244638","Apo-Clobazam","APX","tab","10mg","2012-04-16","","clobazam","bzd","",NA
"02244814","Co Temazepam","COB","cap","15mg","2012-04-16","","temazepam","bzd","",NA
"02244815","Co Temazepam","COB","cap","30mg","2012-04-16","","temazepam","bzd","",NA
"02245230","Apo-Nitrazepam","APX","tab","5mg","2012-04-16","","nitrazepam","bzd","",NA
"02245231","Apo-Nitrazepam","APX","tab","10mg","2012-04-16","","nitrazepam","bzd","",NA
"02245784","Dom-Lorazepam","DPC","tab","0.5mg","2012-04-16","","lorazepam","bzd","",NA
"02245785","Dom-Lorazepam","DPC","tab","1mg","2012-04-16","","lorazepam","bzd","",NA
"02245786","Dom-Lorazepam","DPC","tab","2mg","2012-04-16","","lorazepam","bzd","",NA
"02247173","Bio-Diazepam","BII","tab","2mg","2012-04-16","","diazepam","bzd","",NA
"02247174","Bio-Diazepam","BII","tab","5mg","2012-04-16","","diazepam","bzd","",NA
"02247176","Bio-Diazepam","BII","tab","10mg","2012-04-16","","diazepam","bzd","",NA
"02247177","Bio-Oxazepam","BII","tab","10mg","2012-04-16","","oxazepam","bzd","",NA
"02247178","Bio-Oxazepam","BII","tab","15mg","2012-04-16","","oxazepam","bzd","",NA
"02247179","Bio-Oxazepam","BII","tab","30mg","2012-04-16","","oxazepam","bzd","",NA
"02247230","Dom-Clobazam","DPC","tab","10mg","2012-04-16","","clobazam","bzd","",NA
"02247490","PMS-Diazepam","BII","tab","2mg","2012-04-16","","diazepam","bzd","",NA
"02247491","PMS-Diazepam","BII","tab","5mg","2012-04-16","","diazepam","bzd","",NA
"02247492","PMS-Diazepam","BII","tab","10mg","2012-04-16","","diazepam","bzd","",NA
"02248126","Bio-Flurazepam","BII","cap","15mg","2012-04-16","","flurazepam","bzd","",NA
"02248127","Bio-Flurazepam","BII","cap","30mg","2012-04-16","","flurazepam","bzd","",NA
"02270641","Co Clonazepam","COB","tab","0.5mg","2012-04-16","","clonazepam","bzd- seizure disorder + panic and anxiety disorder","",NA
"02270668","Co Clonazepam","COB","tab","1mg","2012-04-16","","clonazepam","bzd- seizure disorder + panic and anxiety disorder","",NA
"02270676","Co Clonazepam","COB","tab","2mg","2012-04-16","","clonazepam","bzd- seizure disorder + panic and anxiety disorder","",NA
"02273039","PMS-Temazepam","PMS","cap","15mg","2012-11-29","","temazepam","bzd- insomnia ","",NA
"02273047","PMS-Temazepam","PMS","cap","30mg","2012-11-29","","temazepam","bzd- insomnia ","",NA
"02297957","Phl-Temazepam","PHE","cap","15mg","2012-04-16","","temazepam","bzd- insomnia ","",NA
"02297965","Phl-Temazepam","PHE","cap","30mg","2012-04-16","","temazepam","bzd- insomnia ","",NA
"02298201","Phl-Lorazepam","PHE","tab","0.5mg","2012-04-16","","lorazepam","bzd- anxiety disorder","",NA
"02298228","Phl-Lorazepam","PHE","tab","1mg","2012-04-16","","lorazepam","bzd- anxiety disorder","cancelled post-market but on the same day as original market date",NA
"02298236","Phl-Lorazepam","PHE","tab","2mg","2012-04-16","","lorazepam","bzd- anxiety disorder","cancelled post-market but on the same day as original market date",NA
"02303329","Zym-Clonazepam","ZYN","tab","1mg","2012-04-16","","clonazepam","bzd- seizure disorder + panic and anxiety disorder","",NA
"02303337","Zym-Clonazepam","ZYN","tab","2mg","2012-04-16","","clonazepam","bzd- seizure disorder + panic and anxiety disorder","",NA
"02311593","Pro-Clonazepam","PRD","tab","0.5mg","2012-04-16","","clonazepam","bzd- seizure disorder + panic and anxiety disorder","",NA
"02311607","Pro-Clonazepam","PRD","tab","1mg","2012-04-16","","clonazepam","bzd- seizure disorder + panic and anxiety disorder","",NA
"02311615","Pro-Clonazepam","PRD","tab","2mg","2012-04-16","","clonazepam","bzd- seizure disorder + panic and anxiety disorder","",NA
"02344602","Clonazepam","MEL","tab","1mg","2012-04-16","","clonazepam","bzd- seizure disorder + panic and anxiety disorder","",NA
"02344610","Clonazepam","MEL","tab","2mg","2012-04-16","","clonazepam","bzd- seizure disorder + panic and anxiety disorder","",NA
"02344629","Clonazepam-R","MEL","tab","0.5mg","2012-04-16","","clonazepam","bzd","",NA
"02345676","Zym-Clonazepam","ZYN","tab","0.5mg","2012-04-16","","clonazepam","bzd","",NA
"02347733","NTP-Lorazepam","NTP","tab","0.5mg","2012-11-02","","lorazepam","bzd- genralized anxiety and insomnia (lower potency than alprazolam)","",NA
"02347741","NTP-Lorazepam","NTP","tab","1mg","2012-11-02","","lorazepam","bzd- genralized anxiety and insomnia (lower potency than alprazolam)","",NA
"02347768","NTP-Lorazepam","NTP","tab","2mg","2012-11-02","","lorazepam","bzd- genralized anxiety and insomnia (lower potency than alprazolam)","",NA
"02349191","Alprazolam","SAI","tab","0.25mg","2012-11-29","","alprazolam","bzd- genralized anxiety and panic disorder (more potent)","",NA
"02349205","Alprazolam","SAI","tab","0.5mg","2012-11-29","","alprazolam","bzd- genralized anxiety and panic disorder (more potent)","",NA
"02351072","Lorazepam","SAI","tab","0.5mg","2012-11-29","","lorazepam","bzd- genralized anxiety and insomnia (lower potency than alprazolam)","",NA
"02351080","Lorazepam","SAI","tab","1mg","2012-11-29","","lorazepam","bzd- genralized anxiety and insomnia (lower potency than alprazolam)","",NA
"02351099","Lorazepam","SAI","tab","2mg","2012-11-29","","lorazepam","bzd- genralized anxiety and insomnia (lower potency than alprazolam)","",NA
"02397056","Jamp-Alprazolam","JPC","tab","1mg","2025-01-31","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) and/or agoraphobia","",NA
"02397064","Jamp-Alprazolam","JPC","tab","2mg","2025-01-31","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) and/or agoraphobia","",NA
"02400111","Jamp-Alprazolam","JPC","tab","0.25mg","2013-05-13","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) and/or agoraphobia","",NA
"02400138","Jamp-Alprazolam","JPC","tab","0.5mg","2013-05-13","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) and/or agoraphobia","",NA
"02400146","Jamp-Alprazolam","JPC","tab","1mg","2014-02-27","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) and/or agoraphobia","",NA
"02400154","Jamp-Alprazolam","JPC","tab","2mg","2014-02-27","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) and/or agoraphobia","",NA
"02404877","Riva-Alprazolam ","RIA","tab","0.25mg","2015-07-31","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) with/without agoraphobia","",NA
"02404885","Riva-Alprazolam ","RIA","tab","0.5mg","2015-07-31","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) with/without agoraphobia","",NA
"02404893","Riva-Alprazolam ","RIA","tab","1mg","2015-07-31","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) with/without agoraphobia","",NA
"02404907","Riva-Alprazolam ","RIA","tab","2mg","2015-07-31","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) with/without agoraphobia","",NA
"02410745","Apo-Lorazepam Sublingual","APX","sl tab","0.5mg","2013-10-10","","lorazepam","bzd- genralized anxiety and insomnia (lower potency than alprazolam). may be used for acute anxiety attacks due to faster onset","",NA
"02410753","Apo-Lorazepam Sublingual","APX","sl tab","1mg","2013-10-10","","lorazepam","bzd- genralized anxiety and insomnia (lower potency than alprazolam). may be used for acute anxiety attacks due to faster onset","",NA
"02410761","Apo-Lorazepam Sublingual","APX","sl tab","2mg","2013-10-10","","lorazepam","bzd- genralized anxiety and insomnia (lower potency than alprazolam). may be used for acute anxiety attacks due to faster onset","",NA
"02417634","Nat-Alprazolam","NAT","tab","0.25mg","2015-10-29","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) with/without agoraphobia","",NA
"02417642","Nat-Alprazolam","NAT","tab","0.5mg","2015-10-29","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) with/without agoraphobia","",NA
"02417650","Nat-Alprazolam","NAT","tab","1mg","2015-10-29","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) with/without agoraphobia","",NA
"02417669","Nat-Alprazolam","NAT","tab","2mg","2016-11-30","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) with/without agoraphobia","",NA
"02429810","Lorazepam","SIV","tab","1mg","2016-07-15","","lorazepam","bzd- genralized anxiety and insomnia (lower potency than alprazolam). may be used for acute anxiety attacks due to faster onset","",NA
"02429829","Lorazepam","SIV","tab","2mg","2016-07-15","","lorazepam","bzd- genralized anxiety and insomnia (lower potency than alprazolam). may be used for acute anxiety attacks due to faster onset","",NA
"02434601","Jamp Alprazolam","JPC","tab","0.25mg","2022-03-31","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) and/or agoraphobia","",NA
"02434628","Jamp Alprazolam","JPC","tab","0.5mg","2022-03-31","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) and/or agoraphobia","",NA
"02434636","Jamp Alprazolam","JPC","tab","1mg","2022-03-31","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) and/or agoraphobia","",NA
"02434644","Jamp Alprazolam","JPC","tab","2mg","2022-03-31","","alprazolam","bzd- genralized anxiety and panic disorder (more potent) and/or agoraphobia","",NA
"02442027","Clonazepam","SIV","tab","0.25mg","2016-07-15","","clonazepam","bzd- acute treatment of panic diorder, epilepsy. some off label uses include: resless leg sundrome, acute mania, insomnia, tarive dyskinesia","",NA
"02442035","Clonazepam","SIV","tab","0.5mg","2016-07-15","","clonazepam","bzd- acute treatment of panic diorder, epilepsy. some off label uses include: resless leg sundrome, acute mania, insomnia, tarive dyskinesia","",NA
"02442043","Clonazepam","SIV","tab","1mg","2016-07-15","","clonazepam","bzd- acute treatment of panic diorder, epilepsy. some off label uses include: resless leg sundrome, acute mania, insomnia, tarive dyskinesia","",NA
"02442051","Clonazepam","SIV","tab","2mg","2016-07-15","","clonazepam","bzd- acute treatment of panic diorder, epilepsy. some off label uses include: resless leg sundrome, acute mania, insomnia, tarive dyskinesia","",NA
"02519070","Diastat","BHC","rect gel","10mg/2mL","2024-06-07","","diazepam","bzd- management of selected, refractory, patients with epilepsy, stable regimens of aed","To be administered by caregivers",NA
"09853340","Diastat","VAL","rect gel-2x10mg pk","5mg/mL","2012-06-01","","diazepam","bzd- management of selected, refractory, patients with epilepsy, stable regimens of aed","To be administered by caregivers",NA
"09853430","Diastat","VAL","rect gel-2x15mg pk","5mg/mL","2012-06-01","","diazepam","bzd- management of selected, refractory, patients with epilepsy, stable regimens of aed","To be administered by caregivers",NA
