variable,role,label,labelLong,section,subject,variableType,units,databaseStart,variableStart,description,,,,
ADM_RNO,id-generation,Sequential record number,Sequential record number,N/A,N/A,Continuous,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2001_p::ADMA_RNO, cchs2003_p::ADMC_RNO, cchs2005_p::ADME_RNO, [ADM_RNO]",,,,,
ALCDTTM,table-1-a,Drinker type (last 12 months),Type of drinker (12 months),Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::ALCADTYP, cchs2003_p::ALCCDTYP, cchs2005_p::ALCEDTYP, cchs2015_2016_p::ALCDVTTM, cchs2017_2018_p::ALCDVTTM, [ALCDTTM]",,,,,
ALW_1,intermediate,Any alcohol past week,"Past week, had any alcohol",Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s","cchs2001_p::ALCA_5, cchs2003_p::ALCC_5, cchs2005_p::ALCE_5, cchs2015_2016_p::ALW_005, cchs2017_2018_p::ALW_005, [ALW_1]",,,,,
ALW_2A1,intermediate,# of drinks - Sunday,Number of drinks on Sunday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s","cchs2001_p::ALCA_5A1, cchs2003_p::ALCC_5A1, cchs2005_p::ALCE_5A1, cchs2015_2016_p::ALW_010, cchs2017_2018_p::ALW_010, [ALW_2A1]",,,,,
ALW_2A2,intermediate,# of drinks - Monday,Number of drinks on Monday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s","cchs2001_p::ALCA_5A2, cchs2003_p::ALCC_5A2, cchs2005_p::ALCE_5A2, cchs2015_2016_p::ALW_015, cchs2017_2018_p::ALW_015, [ALW_2A2]",,,,,
ALW_2A3,intermediate,# of drinks - Tuesday,Number of drinks on Tuesday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s","cchs2001_p::ALCA_5A3, cchs2003_p::ALCC_5A3, cchs2005_p::ALCE_5A3, cchs2015_2016_p::ALW_020, cchs2017_2018_p::ALW_020, [ALW_2A3]",,,,,
ALW_2A4,intermediate,# of drinks - Wednesday,Number of drinks on Wednesday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s","cchs2001_p::ALCA_5A4, cchs2003_p::ALCC_5A4, cchs2005_p::ALCE_5A4, cchs2015_2016_p::ALW_025, cchs2017_2018_p::ALW_025, [ALW_2A4]",,,,,
ALW_2A5,intermediate,# of drinks - Thursday,Number of drinks on Thursday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s","cchs2001_p::ALCA_5A5, cchs2003_p::ALCC_5A5, cchs2005_p::ALCE_5A5, cchs2015_2016_p::ALW_030, cchs2017_2018_p::ALW_030, [ALW_2A5]",,,,,
ALW_2A6,intermediate,# of drinks - Friday,Number of drinks on Friday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s","cchs2001_p::ALCA_5A6, cchs2003_p::ALCC_5A6, cchs2005_p::ALCE_5A6, cchs2015_2016_p::ALW_035, cchs2017_2018_p::ALW_035, [ALW_2A6]",,,,,
ALW_2A7,intermediate,# of drinks - Saturday,Number of drinks on Saturday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s","cchs2001_p::ALCA_5A7, cchs2003_p::ALCC_5A7, cchs2005_p::ALCE_5A7, cchs2015_2016_p::ALW_040, cchs2017_2018_p::ALW_040, [ALW_2A7]",,,,,
binge_drinker,predictor,Binge Drinker,Binge Drinker,Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s","DerivedVar::[DHH_SEX, ALW_1, ALW_2A1, ALW_2A2, ALW_2A3, ALW_2A4, ALW_2A5, ALW_2A6, ALW_2A7]",,,,,
ALWDWKY,predictor,Drinks last week,Weekly consumption of alcohol,Health behaviour,Alcohol,Continuous,drinks/week,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s","cchs2001_p::ALCADWKY, cchs2003_p::ALCCDWKY, cchs2005_p::ALCEDWKY, cchs2015_2016_p::ALWDVWKY, cchs2017_2018_p::ALWDVWKY, [ALWDWKY]",,,,,
CCC_031,"predictor, imputation-variable",Asthma,Do you have asthma?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s,  cchs2010_s, cchs2012_s","cchs2001_p::CCCA_031, cchs2003_p::CCCC_031, cchs2005_p::CCCE_031, cchs2015_2016_p::CCC_015, cchs2017_2018_p::CCC_015, [CCC_031]",,,,,
CCC_051,imputation-variable,Arthritis/Rheumatism,Do you have arthritis or rheumatism?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::CCCA_051, cchs2003_p::CCCC_051, cchs2005_p::CCCE_051, cchs2015_2016_p::CCC_050, cchs2017_2018_p::CCC_050, [CCC_051]",,,,,
CCC_071,"predictor, imputation-variable",Hypertension,Do you have high blood pressure?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::CCCA_071, cchs2003_p::CCCC_071, cchs2005_p::CCCE_071, cchs2015_2016_p::CCC_065, cchs2017_2018_p::CCC_065, [CCC_071]",,,,,
CCC_091,"predictor, imputation-variable",COPD/Emphysema/Bronchitis,"Do you have COPD (eg bronchitis, emphysema)?",Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::CCCA_91B, cchs2003_p::CCCC_91B, cchs2015_2016_p::CCC_030, cchs2017_2018_p::CCC_030, [CCC_091]",,,,,
CCC_101,imputation-variable,Diabetes,Do you have diabetes?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::CCCA_101, cchs2003_p::CCCC_101, cchs2005_p::CCCE_101, cchs2015_2016_p::CCC_095, cchs2017_2018_p::CCC_095, [CCC_101]",,,,,
CCC_121,"predictor, imputation-variable",Heart Disease,Do you have heart disease?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::CCCA_121, cchs2003_p::CCCC_121, cchs2005_p::CCCE_121, cchs2015_2016_p::CCC_085, cchs2017_2018_p::CCC_085, [CCC_121]",,,,,
CCC_131,"predictor, imputation-variable",Active Cancer,Do you have cancer?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::CCCA_131, cchs2003_p::CCCC_131, cchs2005_p::CCCE_131, cchs2015_2016_p::CCC_130, cchs2017_2018_p::CCC_130, [CCC_131]",,,,,
CCC_151,"predictor, imputation-variable",Stroke,Do you suffer from effects of stroke?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::CCCA_151, cchs2003_p::CCCC_151, cchs2005_p::CCCE_151, cchs2015_2016_p::CCC_090, cchs2017_2018_p::CCC_090, [CCC_151]",,,,,
CCC_251,imputation-variable,Chronic fatigue,Do you have chronic fatigue syndrome?,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2010_p, cchs2014_p, cchs2010_s","cchs2001_p::CCCA_251, cchs2003_p::CCCC_251, cchs2005_p::CCCE_251, [CCC_251]",,,,,
CCC_280,predictor,Mood disorder,Do you have a mood disorder?,Health status,Chronic condition,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2003_p::CCCC_280, cchs2005_p::CCCE_280, cchs2015_2016_p::CCC_195, cchs2017_2018_p::CCC_195, [CCC_280]",,,,,
CCC_290,predictor,Anxiety Disorder,Do you have an anxiety disorder?,Health status,Chronic condition,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2003_p::CCCC_290, cchs2005_p::CCCE_290, cchs2015_2016_p::CCC_200, cchs2017_2018_p::CCC_200, [CCC_290]",,,,,
DHH_SEX,"predictor, table-1-a-stratifier",Sex,Sex,Demographics,Sex,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::DHHA_SEX, cchs2003_p::DHHC_SEX, cchs2005_p::DHHE_SEX, [DHH_SEX]",,,,,
DHHGAGE_D,"predictor, table-1-a",Age,Age (10-year age groups),Demographics,Age,Categorical,Years,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::DHHAGAGE, cchs2003_p::DHHCGAGE, cchs2005_p::DHHEGAGE, cchs2009_s::DHH_AGE, cchs2010_s::DHH_AGE, cchs2012_s::DHH_AGE, [DHHGAGE]","8 age groups: 12 to 19,  20 to 29, 30 to 39, 40 to 49, 50 to 59, 60 to 69, 70 to 79, 80+ years",,,,
DHHGAGE_cont,"predictor, table-1-a",Age,Converted categorical age,Demographics,Age,Continuous,Years,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::DHHAGAGE, cchs2003_p::DHHCGAGE, cchs2005_p::DHHEGAGE, cchs2009_s::DHH_AGE, cchs2010_s::DHH_AGE, cchs2012_s::DHH_AGE, [DHHGAGE]",Continuous age variable,,,,
DHHGMS,"predictor, table-1-a",Marital status,Marital status - (G),Sociodemographics,Marital Status,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::DHHAGMS, cchs2003_p::DHHCGMS, cchs2005_p::DHHEGMS, cchs2009_s::DHH_MS, cchs2010_s::DHH_MS, cchs2012_s::DHH_MS, [DHHGMS]",,,,,
EDUDR03,"predictor, table-1-a",Highest education,Highest level/education - 3 categories,Sociodemographics,Education,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::EDUADR04, cchs2003_p::EDUCDR04, cchs2005_p::EDUEDR04, cchs2015_2016_p::EHG2DVR3, cchs2017_2018_p::EHG2DVR3, [EDUDR04]",,,,,
FSCDHFS2,predictor,HC food security,Household food security status - (HC),Sociodemographics,Food security,Categorical,N/A,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2015_2016_p::FSCDVHFS, cchs2017_2018_p::FSCDVHFS, [FSCDHFS2]",,,,,
GEN_01,imputation-variable,Self-perceived health,Self-perceived health,Health status,Self-perceived health,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::GENA_01, cchs2003_p::GENC_01, cchs2005_p::GENE_01, cchs2015_2016_p::GEN_005, cchs2017_2018_p::GEN_005, [GEN_01]",,,,,
GEN_02A,imputation-variable,Life satisfaction_cat,Satisfaction with life,Health status,Satisfaction with life,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p","cchs2003_p::GENC_02A, cchs2005_p::GENE_02A, [GEN_02A]",,,,,
GEN_02B,"predictor, imputation-variable, table-1-a",Self-perceived mental health,Self-perceived mental health,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2003_p::GENC_02B, cchs2005_p::GENE_02B, cchs2015_2016_p::GEN_015, cchs2017_2018_p::GEN_015, [GEN_02B]",,,,,
GEN_07,predictor,Self-perceived life stress,Self-perceived life stress,Health status,Mental health,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::GENA_07, cchs2003_p::GENC_07, cchs2005_p::GENE_07, cchs2015_2016_p::GEN_020, cchs2017_2018_p:: GEN_020, [GEN_07]",,,,,
GEN_09,predictor,Self-perceived work stress,Self-perceived work stress,Health status,Mental health,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::GENA_09, cchs2003_p::GENC_09, cchs2005_p::GENE_09, cchs2015_2016_p::GEN_025, cchs2017_2018_p::GEN_025, [GEN_09]",,,,,
GEN_10,"predictor, imputation-variable, table-1-a",Sense of belonging,Sense of belonging in the community,Health status,Mental health,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::GENA_10, cchs2003_p::GENC_10, cchs2005_p::GENE_10, cchs2015_2016_p::GEN_030, cchs2017_2018_p::GEN_030, [GEN_10]",,,,,
HUPDPAD,predictor,HUI Pain,Act. prevent/pain - function code - (D),Health status,Health utility index,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::HUIADPAD, cchs2003_p::HUICDPAD, cchs2005_p::HUIEDPAD, cchs2015_2016_p::HUIDVPAD, [HUPDPAD]",,,,,
INCGHH_cont,predictor,Household income,Total household income from all sources - continuous,Sociodemographics,Income,Continuous,$/year,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::INCAGHH, cchs2003_p::INCCGHH, cchs2005_p::INCEGHH, cchs2015_2016_p::INCDGHH, cchs2017_2018_p::INCDGHH, cchs2009_s::INCDHH, cchs2010_s::INCDHH, cchs2012_s::INCDHH, [INCGHH]",,,,,
number_conditions,predictor,Number of conditions,Number of chronic conditions,Health status,Chronic condition,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s","DerivedVar::[CCC_121, CCC_131, CCC_151, CCC_171, resp_condition_der, CCC_051], DerivedVar::[CCC_121, CCC_131, CCC_151, CCC_171, CCC_280, resp_condition_der, CCC_051]",,,,,
LBFCDWSS,predictor,working status,Working status last week,Sociodemographics,Occupation,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::, cchs2003_p::HUICDPAD, cchs2005_p::HUIEDPAD, cchs2015_2016_p::HUIDVPAD, [HUPDPAD]",,,,,
