variable,role,label,labelLong,section,subject,variableType,units,databaseStart,variableStart,description,Transformation,,,,,,,,,,
DHH_AGE_C_rcs2,predictor,Centered age second RCS variable,Centered age second RCS variable,Demographics,Age,Continuous,Years,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[DHH_AGE_C],,"rcs[DHH_AGE_C, 2]",,,,,,,,,,
DHH_AGE_C_rcs3,predictor,Centered age third RCS variable,Centered age third RCS variable,Demographics,Age,Continuous,Years,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[DHH_AGE_C],,"rcs[DHH_AGE_C, 3]",,,,,,,,,,
DHH_AGE_C_rcs4,predictor,Centered age fourth RCS variable,Centered age fourth RCS variable,Demographics,Age,Continuous,Years,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[DHH_AGE_C],,"rcs[DHH_AGE_C, 4]",,,,,,,,,,
DHH_AGE_C_X_ALCDTTM_cat1_C,predictor,"interaction between ""Centered Age dummy variable"" and ""Centered drinker type dummy variable: Regular""","interaction between ""Centered Age dummy variable"" and ""Centered drinker type dummy variable: Regular""""Centered drinker type dummy variable: Regular""",N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE_C, ALCDTTM_cat1_C]",,"Interact::[DHH_AGE_C, ALCDTTM_cat1_C]",,,,,,,,,,
DHH_AGE_C_X_ALCDTTM_cat2_C,predictor,"interaction between ""Centered Age dummy variable"" and ""Centered drinker type dummy variable: Occasional""","interaction between ""Centered Age dummy variable"" and ""Centered drinker type dummy variable: Occasional""""Centered drinker type dummy variable: Occasional""",N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE_C, ALCDTTM_cat2_C]",,"Interact::[DHH_AGE_C, ALCDTTM_cat2_C]",,,,,,,,,,
DHH_AGE_C_X_ALWDWKY_C,predictor,"interaction between ""Centered Age dummy variable"" and ""Centered drinks last week""","interaction between ""Centered Age dummy variable"" and ""Centered drinks last week""""""",N/A,N/A,Continuous,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs_2014_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","DerivedVar::{DHH_AGE_C, ALWDWKY_C]",,"Interact::[DHH_AGE_C, ALWDWKY_C]",,,,,,,,,,
DHH_AGE_C_X_CCC_071_cat1_C,predictor,"interaction between ""Centered Age dummy variable"" and ""Centered dummy hypertension variable: Yes""","interaction between ""Centered Age dummy variable"" and ""Centered dummy hypertension variable: Yes""""Centered dummy hypertension variable: Yes""",N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE_C, CCC_071_cat1_C]",,"Interact::[DHH_AGE_C, CCC_071_cat1_C]",,,,,,,,,,
DHH_AGE_C_X_CCC_091_cat1_C,predictor,"interaction between ""Centered Age dummy variable"" and ""Centered respiratory condition dummy variable: Has respiratory condition""","interaction between ""Centered Age dummy variable"" and ""Centered respiratory condition dummy variable: Has respiratory condition""""Centered respiratory condition dummy variable: Has respiratory condition""",N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE_C, CCC_091_cat1_C]",,"Interact::[DHH_AGE_C, CCC_091_cat1_C]",,,,,,,,,,
DHH_AGE_C_X_CCC_121_cat1_C,predictor,"interaction between ""Centered Age dummy variable"" and ""Centered dummy heart disease variable: Yes""","interaction between ""Centered Age dummy variable"" and ""Centered dummy heart disease variable: Yes""""Centered dummy heart disease variable: Yes""",N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE_C, CCC_121_cat1_C]",,"Interact::[DHH_AGE_C, CCC_121_cat1_C]",,,,,,,,,,
DHH_AGE_C_X_CCC_151_cat1_C,predictor,"interaction between ""Centered Age dummy variable"" and ""Centered dummy stroke variable: Yes""","interaction between ""Centered Age dummy variable"" and ""Centered dummy stroke variable: Yes""""Centered dummy stroke variable: Yes""",N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE_C, CCC_151_cat1_C]",,"Interact::[DHH_AGE_C, CCC_151_cat1_C]",,,,,,,,,,
DHH_AGE_C_X_CCC_280_cat1_C,predictor,"interaction between ""Centered Age dummy variable"" and ""Centered Dummy mood disorder variable: Yes""","interaction between ""Centered Age dummy variable"" and ""Centered Dummy mood disorder variable: Yes""""Centered Dummy mood disorder variable: Yes""",N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE_C, CCC_280_cat1_C]",,"Interact::[DHH_AGE_C, CCC_280_cat1_C]",,,,,,,,,,
DHH_AGE_C_X_HWTDBMI_der_C,predictor,"interaction between ""Centered Age dummy variable"" and ""Centered Derived BMI""","interaction between ""Centered Age dummy variable"" and ""Centered Derived BMI""""""",N/A,N/A,Continuous,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE_C, HWTDBMI_der_C]",,"Interact::[DHH_AGE_C, HWTDBMI_der_C]",,,,,,,,,,
DHHGAGE_cont_C_X_smoke_simple_cat1_C,predictor,"interaction between ""Centered Age dummy variable"" and ""Simple smoking status centered dummy variable: Current smoker""","interaction between ""Centered Age dummy variable"" and ""Simple smoking status centered dummy variable: Current smoker""""Simple smoking status centered dummy variable: Current smoker""",N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHHGAGE_cont_C, smoke_simple_cat1_C]",,"Interact::[DHHGAGE_cont_C, smoke_simple_cat1_C]",,,,,,,,,,
DHHGAGE_cont_C_X_smoke_simple_cat2_C,predictor,"interaction between ""Centered Age dummy variable"" and ""Simple smoking status centered dummy variable: Former daily smoker quit less than 5 years or former occasional smoker""","interaction between ""Centered Age dummy variable"" and ""Simple smoking status centered dummy variable: Former daily smoker quit less than 5 years or former occasional smoker""""Simple smoking status centered dummy variable: Former daily smoker quit less than 5 years or former occasional smoker""",N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHHGAGE_cont_C, smoke_simple_cat2_C]",,"Interact::[DHHGAGE_cont_C, smoke_simple_cat2_C]",,,,,,,,,,
DHHGAGE_cont_C_X_smoke_simple_cat3_C,predictor,"interaction between ""Centered Age dummy variable"" and ""Simple smoking status centered dummy variable: Former daily smoker quit >5 years""","interaction between ""Centered Age dummy variable"" and ""Simple smoking status centered dummy variable: Former daily smoker quit >5 years""""Simple smoking status centered dummy variable: Former daily smoker quit >5 years""",N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHHGAGE_cont_C, smoke_simple_cat3_C]",,"Interact::[DHHGAGE_cont_C, smoke_simple_cat3_C]",,,,,,,,,,
age_X_BMI,imputation-variable,Age and BMI interaction,Age and BMI interaction,N/A,N/A,Continuous,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE, HWTDBMI]",,"Interact::[DHH_AGE, HWTDBMI]",,,,,,,,,,
age_X_arthritis,imputation-variable,Age and arthritis interaction,Age and arthritis interaction,N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE, CCC_051]",,"Interact::[DHH_AGE, CCC_051]",,,,,,,,,,
age_X_bowel_disorder,imputation-variable,Age and bowel disorder interaction,Age and bowel disorder interaction,N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE, CCC_171]",,"Interact::[DHH_AGE, CCC_171]",,,,,,,,,,
age_X_cancer,imputation-variable,Age and cancer interaction,Age and cancer interaction,N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE, CCC_131]",,"Interact::[DHH_AGE, CCC_131]",,,,,,,,,,
age_X_diabetes,imputation-variable,Age and diabetes interaction,Age and diabetes interaction,N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE, CCC_101]",,"Interact::[DHH_AGE, CCC_101]",,,,,,,,,,
age_X_drinker_type,imputation-variable,Age and drinker type interaction,Age and drinker type interaction,N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE, ALCDTTM]",,"Interact::[DHH_AGE, ALCDTTM]",,,,,,,,,,
age_X_drinks_last_week,imputation-variable,Age and # of drinks last week interaction,Age and # of drinks last week interaction,N/A,N/A,Continuous,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE, ALW_1]",,"Interact::[DHH_AGE, ALW_1]",,,,,,,,,,
age_X_hbp,imputation-variable,Age and high blood pressure interaction,Age and high blood pressure interaction,N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE, CCC_071]",,"Interact::[DHH_AGE, CCC_071]",,,,,,,,,,
age_X_heart_disease,imputation-variable,age and heart disease interaction,age and heart disease interaction,N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE, CCC_121]",,"Interact::[DHH_AGE, CCC_121]",,,,,,,,,,
age_X_mood_disorder,imputation-variable,age and mood disorder interaction,age and mood disorder interaction,N/A,N/A,Categorical,N/A,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE, CCC_280]",,"Interact::[DHH_AGE, CCC_280]",,,,,,,,,,
age_X_COPD,imputation-variable,Age and COPD interaction,Age and COPD interaction,N/A,N/A,Categorical,N/A," cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE, CCC_091]",,"Interact::[DHH_AGE, CCC_091]",,,,,,,,,,
age_X_smoking_status,imputation-variable,Age and smoking status interaction,Age and smoking status interaction,N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE, smoke_simple]",,"Interact::[DHH_AGE, smoke_simple]",,,,,,,,,,
age_X_stroke,imputation-variable,Age and stroke interaction,Age and stroke interaction,N/A,N/A,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE, CCC_151]",,"Interact::[DHH_AGE, CCC_151]",,,,,,,,,,
age_X_anxiety,imputation-variable,Age and anxiety disorder interaction,Age and anxiety disorder interaction,N/A,N/A,Categorical,N/A,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","DerivedVar::[DHH_AGE, CCC_290]",,"Interact::[DHH_AGE, CCC_290]",,,,,,,,,,
age_X_number_conditions,imputation-variable,   ,Age and number of conditions interation,,,,,,,,,,,,,,,,,,
ALCDTTM,"intermediate, imputation-variable",Drinker type (last 12 months),Type of drinker (12 months),Health behaviour,Alcohol,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_m::ALCADTYP, cchs2003_m::ALCCDTYP, cchs2005_m::ALCEDTYP, cchs2015_2016_m::ALCDVTTM, cchs2017_2018_m::ALCDVTTM, cchs_2015_2016_i::ALCDVTTM, cchs_2017_2018_i::ALCDVTTM, [ALCDTTM]",,,,,,,,,,,,
